Qsolar_window,Qsolar_bw ,Qsolar_roof,Qsolar_ sw1,Qsolar_sw2,To
0,0,0,0,0,28.4
0,0,0,0,0,28.35
0,0,0,0,0,28.3
0,0,0,0,0,28.25
0,0,0,0,0,28.2
0,0,0,0,0,28.15
0,0,0,0,0,28.1
0,0,0,0,0,28.05
0,0,0,0,0,28
0,0,0,0,0,27.95
0,0,0,0,0,27.9
0,0,0,0,0,27.84
0,0,0,0,0,27.78
0,0,0,0,0,27.72
0,0,0,0,0,27.66
0,0,0,0,0,27.6
0,0,0,0,0,27.54
0,0,0,0,0,27.48
0,0,0,0,0,27.42
0,0,0,0,0,27.36
0,0,0,0,0,27.3
0,0,0,0,0,27.25
0,0,0,0,0,27.2
0,0,0,0,0,27.15
0,0,0,0,0,27.1
0,0,0,0,0,27.05
0,0,0,0,0,27
0,0,0,0,0,26.95
0,0,0,0,0,26.9
0,0,0,0,0,26.85
0,0,0,0,0,26.8
0,0,0,0,0,26.76
0,0,0,0,0,26.72
0,0,0,0,0,26.68
0,0,0,0,0,26.64
0,0,0,0,0,26.6
0,0,0,0,0,26.56
0,0,0,0,0,26.52
0,0,0,0,0,26.48
0,0,0,0,0,26.44
0,0,0,0,0,26.4
0,0,0,0,0,26.35
0,0,0,0,0,26.3
0,0,0,0,0,26.25
0,0,0,0,0,26.2
0,0,0,0,0,26.15
0,0,0,0,0,26.1
7.458128066,7.458128066,13.09202795,7.458128066,7.458128066,26.05
28.62953631,10.57237897,21.50209977,10.57237897,50.00371342,26
35.01032146,13.78941988,28.01817988,13.78941988,61.48478384,25.95
41.07584256,17.04313805,34.71023685,17.04313805,72.62907932,25.9
45.77676619,20.31323653,41.57888294,20.31323653,80.94564705,26.03
48.27090239,23.59269899,48.62448924,23.59269899,84.1518416,26.16
51.36738942,26.87869442,55.84718514,26.87869442,88.79790864,26.29
54.78928989,30.16987206,63.24685795,30.16987206,94.30148956,26.42
58.3892339,33.46545272,70.8231529,33.46545272,100.3480951,26.55
79.86103523,39.75834984,85.52058545,39.75834984,150.4542394,26.68
92.93835569,44.92682991,101.3180887,44.92682991,181.6785876,26.81
105.4541407,50.16673967,118.2120873,50.16673967,212.5910332,26.94
117.5276888,55.36518089,136.1975005,55.36518089,243.6828115,27.07
128.9679603,60.75230978,155.2677472,60.75230978,273.884796,27.2
148.2749409,67.73315026,175.4147525,67.73315026,326.5781427,27.48
158.6623503,73.24419571,196.6289563,73.24419571,356.4817564,27.76
168.5507493,78.80041733,218.8993225,78.80041733,385.9485939,28.04
177.94879,84.40000483,242.2133505,84.40000483,414.9360914,28.32
186.8647294,90.04098725,266.5570879,90.04098725,443.4000225,28.6
191.1137612,92.68673683,285.2834739,92.68673683,464.1137366,28.88
195.090288,95.38828744,305.0450838,95.38828744,484.6218735,29.16
207.1934856,100.0742872,325.8231955,100.0742872,531.7286885,29.44
