date,price_normalized,26-18,26-20,26-22,26-24,24-18,24-20,24-22,22-18,22-20,20-18
01/07/2019 0:06,0.755319751,24.77767122,25.17023178,25.94207422,25.97532538,23.388,23.958,24,21.936,22,20
01/07/2019 0:12,0.754800512,24.79141544,25.17767541,25.94284826,25.97625356,23.391,23.958,24,21.935,22,20
01/07/2019 0:18,0.754281273,24.79542419,25.17189923,25.94367543,25.9772376,23.392,23.959,24,21.935,22,20
01/07/2019 0:24,0.753762034,24.79667312,25.19205251,25.94454494,25.97826863,23.393,23.958,24,21.935,22,20
01/07/2019 0:30,0.753242795,24.81663106,25.1796141,25.94545455,25.97933559,23.395,23.958,24,21.934,22,20
01/07/2019 0:36,0.752723556,24.83104228,25.16791074,25.94639451,25.98042737,23.399,23.958,24,21.934,22,20
01/07/2019 0:42,0.752204317,25.27131167,24.26684216,25.94736162,25.98153502,23.403,23.957,24,21.935,22,20
01/07/2019 0:48,0.751685078,25.17272826,25.14401621,25.94834218,25.9826435,23.406,23.957,24,21.934,22,20
01/07/2019 0:54,0.751165839,24.95550794,25.07338972,25.94931869,25.98372948,23.411,23.957,24,21.935,22,20
01/07/2019 1:00,0.7506466,25.38359104,25.23926917,25.95015852,25.98464805,23.414,23.957,24,21.934,22,20
01/07/2019 1:06,0.75022913,25.14391991,25.21316828,25.94954788,25.98398142,23.409,23.957,24,21.934,22,20
01/07/2019 1:12,0.738523349,25.31983223,25.1590177,25.94883406,25.98319252,23.407,23.957,24,21.935,22,20
01/07/2019 1:18,0.726817568,24.84614642,25.08662665,25.94798084,25.98223676,23.403,23.957,24,21.934,22,20
01/07/2019 1:24,0.715111786,24.8262217,24.90658252,25.94693501,25.98104898,23.399,23.957,24,21.934,22,20
01/07/2019 1:30,0.703406005,24.80203081,25.20513778,25.94560856,25.97951506,23.392,23.958,24,21.934,22,20
01/07/2019 1:36,0.691700224,24.78432312,25.04763448,25.94385367,25.97745026,23.387,23.958,24,21.932,22,20
01/07/2019 1:42,0.679994443,24.75646468,25.5105217,25.94138834,25.97449788,23.378,23.957,24,21.932,22,20
01/07/2019 1:48,0.668288662,24.72537335,25.0417864,25.93761853,25.96991515,23.371,23.958,24,21.931,22,20
01/07/2019 1:54,0.65658288,24.68891473,25.21402672,25.93108545,25.96194107,23.36,23.959,24,21.926,22,20
01/07/2019 2:00,0.644877099,24.64231986,25.77049779,25.91836632,25.94692863,23.34,23.96,24,21.919,22,20
01/07/2019 2:06,0.633171318,24.62314163,24.67325703,25.91555224,25.94377131,23.34,23.96,24,21.923,22,20
