date,price_normalized,26-18,26-20,26-22,26-24,24-18,24-20,24-22,22-18,22-20,20-18,
01/07/2019 0:06,0.33,25.94,25.95,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 0:12,0.33,25.95,25.95,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 0:18,0.33,25.92,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 0:24,0.33,25.99,25.97,25.99,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 0:30,0.33,25.95,26.00,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 0:36,0.33,25.96,25.90,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 0:42,0.33,26.00,25.97,25.99,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 0:48,0.33,25.99,25.97,25.99,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 0:54,0.33,25.93,25.95,25.99,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 1:00,0.33,25.90,25.95,25.98,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 1:06,0.33,26.00,26.00,25.98,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 1:12,0.33,25.94,25.93,25.99,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 1:18,0.33,25.96,25.99,25.98,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 1:24,0.33,25.97,25.92,25.99,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 1:30,0.33,25.90,25.96,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 1:36,0.33,25.94,25.98,25.98,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 1:42,0.33,25.95,25.99,25.98,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 1:48,0.33,25.93,25.99,26.00,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 1:54,0.33,25.93,25.99,25.99,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 2:00,0.33,25.96,25.95,25.97,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 2:06,0.29,25.93,25.94,25.97,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 2:12,0.29,25.94,25.93,25.98,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 2:18,0.29,25.93,25.95,25.96,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 2:24,0.29,25.88,25.95,25.97,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 2:30,0.29,25.90,25.96,25.98,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 2:36,0.29,26.00,25.93,25.96,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 2:42,0.29,25.95,25.87,25.99,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 2:48,0.29,25.90,25.86,25.96,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 2:54,0.29,25.99,25.93,25.96,25.98,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 3:00,0.29,25.95,25.97,25.98,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 3:06,0.29,25.92,25.87,25.96,25.98,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 3:12,0.29,25.99,25.93,25.96,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 3:18,0.29,25.96,25.93,25.96,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 3:24,0.29,25.96,25.93,25.95,25.98,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 3:30,0.29,25.88,25.92,25.95,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 3:36,0.29,25.89,25.91,25.94,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 3:42,0.29,25.89,25.93,25.92,25.97,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 3:48,0.29,25.87,25.89,25.98,25.97,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 3:54,0.29,25.88,25.93,25.94,25.96,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 4:00,0.29,25.88,25.94,25.95,25.95,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 4:06,0.29,25.90,25.94,25.93,25.94,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 4:12,0.29,25.86,25.95,25.94,25.96,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 4:18,0.29,25.86,25.92,25.98,25.90,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 4:24,0.29,25.94,25.83,25.95,25.95,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 4:30,0.29,25.85,25.95,25.92,25.96,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 4:36,0.29,25.84,25.89,25.94,25.96,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 4:42,0.29,25.98,25.88,25.95,25.95,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 4:48,0.29,25.93,25.92,25.95,25.95,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 4:54,0.29,25.94,25.89,25.99,25.96,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 5:00,0.29,25.84,25.92,25.93,25.95,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 5:06,0.29,26.00,25.90,25.94,25.94,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 5:12,0.29,26.00,25.86,25.94,25.96,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 5:18,0.29,26.00,25.92,25.93,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 5:24,0.29,25.90,25.83,25.93,25.95,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 5:30,0.29,25.90,25.89,25.93,25.95,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 5:36,0.29,25.90,25.91,25.93,25.95,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 5:42,0.29,25.90,25.93,25.95,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 5:48,0.29,25.89,25.91,25.95,25.95,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 5:54,0.29,25.89,25.91,25.95,25.97,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 6:00,0.29,25.93,25.90,25.98,25.96,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 6:06,0.29,25.92,25.84,25.94,25.96,24.00,24.00,24.00,19.68,22.00,20.00,
01/07/2019 6:12,0.29,25.86,25.90,25.95,25.99,24.00,24.00,24.00,19.57,22.00,20.00,
01/07/2019 6:18,0.29,25.86,25.93,26.00,25.97,24.00,24.00,24.00,18.83,22.00,19.42,
